educationorganizationid,interventionidentificationcode,studentusi,cohortidentifier,cohorteducationorganizationid,diagnosticstatement,dosage,discriminator,createdate,lastmodifieddate,id,changeversion
"255901001","255901001-CheckAndConnect-NinthGrade","27",,,,"10","NULL","2020-11-13 14:17:35.329489","2020-11-13 14:17:35.325682","058e3b26-6275-419c-a98d-51003dfcefbe","32155"
"255901001","255901001-CheckAndConnect-NinthGrade","28",,,,"10","NULL","2020-11-13 14:17:35.329490","2020-11-13 14:17:35.325683","d578d967-ab52-43a9-92fe-4564bde1ee0c","32156"
"255901001","255901001-CheckAndConnect-NinthGrade","2",,,,"10","NULL","2020-11-13 14:17:35.330054","2020-11-13 14:17:35.325682","e52d8a82-7bb5-4b51-acb2-d14b5e45d5e4","32157"
"255901001","255901001-CheckAndConnect-NinthGrade","43",,,,"15","NULL","2020-11-13 14:17:35.330453","2020-11-13 14:17:35.325681","798212cb-4bb8-4f20-86c4-55f46166d2ae","32158"
"255901001","255901001-CheckAndConnect-NinthGrade","54",,,,"10","NULL","2020-11-13 14:17:35.343236","2020-11-13 14:17:35.343149","d98fe5db-0085-48cb-8686-e1ed942e162c","32159"
"255901001","255901001-CheckAndConnect-NinthGrade","85",,,,"10","NULL","2020-11-13 14:17:35.343231","2020-11-13 14:17:35.343149","4804eebb-f11f-46c6-9d99-9d55ed75e711","32160"
"255901001","255901001-CheckAndConnect-NinthGrade","61",,,,"10","NULL","2020-11-13 14:17:35.343182","2020-11-13 14:17:35.343057","fb99fb9a-6775-4d18-b9bf-44633a2faa34","32161"
"255901001","255901001-CheckAndConnect-NinthGrade","98",,,,"10","NULL","2020-11-13 14:17:35.343236","2020-11-13 14:17:35.343145","dafae418-f396-4964-8918-1ddbdc2cc883","32162"
"255901001","255901001-CheckAndConnect-NinthGrade","120",,,,"10","NULL","2020-11-13 14:17:35.352251","2020-11-13 14:17:35.352113","fc3517a2-8f63-4ebf-b319-db68b8605074","32163"
"255901001","255901001-CheckAndConnect-NinthGrade","136",,,,"10","NULL","2020-11-13 14:17:35.352287","2020-11-13 14:17:35.352206","733859b3-afb8-4ed6-bada-e5b70df88ef9","32164"
"255901001","255901001-CheckAndConnect-NinthGrade","107",,,,"10","NULL","2020-11-13 14:17:35.352411","2020-11-13 14:17:35.352343","f885af91-118e-4b11-9cf0-0c250d77caa5","32165"
"255901001","255901001-CheckAndConnect-NinthGrade","118",,,,"30","NULL","2020-11-13 14:17:35.352538","2020-11-13 14:17:35.352477","6bfd90e0-6578-4d08-ad57-77614827cb1c","32166"
"255901001","255901001-CheckAndConnect-NinthGrade","149",,,,"20","NULL","2020-11-13 14:17:35.360029","2020-11-13 14:17:35.359932","193aab15-7510-4790-a04f-e8a6d0789f5b","32167"
"255901001","255901001-CheckAndConnect-NinthGrade","195",,,,"10","NULL","2020-11-13 14:17:35.360870","2020-11-13 14:17:35.360771","a54df44c-cdf9-48ef-9769-b4a0a30a48d0","32168"
"255901001","255901001-CheckAndConnect-NinthGrade","154",,,,"25","NULL","2020-11-13 14:17:35.361802","2020-11-13 14:17:35.361739","bc1c1c8e-3716-4992-b443-2993163840ef","32169"
"255901001","255901001-CheckAndConnect-NinthGrade","211",,,,"10","NULL","2020-11-13 14:17:35.362633","2020-11-13 14:17:35.362561","218e07f1-dcef-4877-a7e8-f6fabcb70d3b","32170"
"255901001","255901001-CheckAndConnect-NinthGrade","222",,,,"10","NULL","2020-11-13 14:17:35.368487","2020-11-13 14:17:35.368401","5beea2f5-eba9-454b-a2be-c3ceb1e506b7","32171"
"255901001","255901001-CheckAndConnect-NinthGrade","223",,,,"10","NULL","2020-11-13 14:17:35.369417","2020-11-13 14:17:35.369282","212dc6a8-8cbc-413b-838f-c1ce09dbe456","32172"
"255901001","255901001-CheckAndConnect-NinthGrade","268",,,,"25","NULL","2020-11-13 14:17:35.370258","2020-11-13 14:17:35.370178","15a7e8d5-ad88-4fc8-8464-40de9e3ed238","32173"
"255901001","255901001-CheckAndConnect-NinthGrade","227",,,,"10","NULL","2020-11-13 14:17:35.370520","2020-11-13 14:17:35.370444","d14a02e6-652a-468d-9d0e-8fd204ed0677","32174"
"255901001","255901001-CheckAndConnect-NinthGrade","304",,,,"10","NULL","2020-11-13 14:17:35.376338","2020-11-13 14:17:35.376211","6bd40f09-6fd8-4956-95f4-4d5a39362eb5","32175"
"255901001","255901001-CheckAndConnect-NinthGrade","309",,,,"10","NULL","2020-11-13 14:17:35.378519","2020-11-13 14:17:35.377802","f5be1054-7176-48dc-9b1b-6abe2e78b360","32176"
"255901001","255901001-CheckAndConnect-NinthGrade","315",,,,"10","NULL","2020-11-13 14:17:35.378587","2020-11-13 14:17:35.378510","f7dac9d0-c05e-4671-b8c0-1d7d9ecd944c","32177"
"255901001","255901001-CheckAndConnect-NinthGrade","314",,,,"10","NULL","2020-11-13 14:17:35.378998","2020-11-13 14:17:35.378940","5c5ec294-7dae-4db0-b13d-3a35ad660212","32178"
"255901001","255901001-CheckAndConnect-NinthGrade","328",,,,"10","NULL","2020-11-13 14:17:35.385102","2020-11-13 14:17:35.385007","ad3f854b-241f-4f0f-8695-495508b76308","32179"
