begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,englishlearnerparticipation,dosage
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","42",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","47",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","152",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","127",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","292",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","275",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","368",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","373",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","448",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","512",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","551",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","679",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","741",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","746",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","799",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","901",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","27",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","88",,"300"
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","270",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","316",,"175"
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","403",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","652",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","715",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","841",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","895",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","905",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","916",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","78",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","99",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","247",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","326",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","507",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","663",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","760",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","763",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","846",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","849",,
"2010-08-30","255901","255901","English as a Second Language (ESL)","1803","954",,
