begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,priorityforservices,lastqualifyingmove,continuationofservicesreasondescriptorid,usinitialentry,usmostrecententry,usinitialschoolentry,qualifyingarrivaldate,stateresidencydate,eligibilityexpirationdate
"2010-08-30","255901","255901","Migrant Education","1825","261","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","258","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","264","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","262","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","265","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","266","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","268","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","269","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","270","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","272","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","273","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","274","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","275","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","276","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","277","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","284","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","282","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","280","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","283","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","286","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","287","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","288","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","290","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","291","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","293","false","2010-08-31",,,,,,,
