parentusi,studentusi,relationdescriptorid,primarycontactstatus,liveswith,emergencycontactstatus,contactpriority,contactrestrictions,discriminator,createdate,lastmodifieddate,id,changeversion
"3","2","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.047759","2020-11-13 14:16:24.046052","4ac92972-8468-47ae-a314-0fb2604f60f5","14569"
"5","1","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.061799","2020-11-13 14:16:24.061687","ba0e3e83-26be-4f12-aaf1-2e3067bb8016","14573"
"12","8","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.072077","2020-11-13 14:16:24.072004","1c358657-ef7d-4ccd-8a2f-6711ede2e630","14577"
"15","7","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.083744","2020-11-13 14:16:24.083679","f0315d08-9c9c-41a2-94b8-c2bbe066f543","14582"
"22","11","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.101870","2020-11-13 14:16:24.101782","f03c7d7e-d911-42be-9e05-b6e22db2e821","14590"
"28","15","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.113029","2020-11-13 14:16:24.112943","af8fcd98-4729-4886-b582-d2769fe93138","14594"
"29","18","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.120669","2020-11-13 14:16:24.120599","c9edb837-2d0d-4f3b-832e-92b245ce8b44","14597"
"40","26","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.137623","2020-11-13 14:16:24.137577","ca3b14d3-4858-462e-812c-18d9257e605c","14606"
"47","30","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.153639","2020-11-13 14:16:24.153563","27367c65-9137-47a2-8ca1-c7bdd2fd77be","14614"
"51","31","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.164309","2020-11-13 14:16:24.164240","465ee77b-f99c-4239-9a11-0bbc7448c330","14618"
"53","32","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.173744","2020-11-13 14:16:24.173633","7e2890ff-8a37-4524-a897-171679bd465a","14621"
"59","35","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.183440","2020-11-13 14:16:24.183362","3447221e-555d-427c-88ad-3038ee89f026","14626"
"63","37","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.192063","2020-11-13 14:16:24.191977","ad01faba-4536-48e7-aa89-87f679a15c6a","14630"
"67","39","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.200383","2020-11-13 14:16:24.200323","ec516693-a85e-4840-aefb-77a15660f372","14634"
"71","41","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.208826","2020-11-13 14:16:24.208776","575dd2bf-d2ca-479a-9663-20c892246ce1","14638"
"79","49","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.226376","2020-11-13 14:16:24.226012","d70aebca-b423-4b26-a950-d59d8bbef8ac","14646"
"83","52","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.234969","2020-11-13 14:16:24.234742","b59d60e9-6196-4e22-943e-9d96cd993628","14650"
"91","56","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.251615","2020-11-13 14:16:24.251549","02f3c8a3-a544-4f00-8c99-a5e58be1a2fa","14657"
"100","62","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.277308","2020-11-13 14:16:24.277226","eaa0089b-178a-4b26-b5bf-72adcf4622d7","14668"
"104","65","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.285742","2020-11-13 14:16:24.285337","d3f4030b-e59f-4fde-bdb1-da95936e113f","14671"
"109","68","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.295863","2020-11-13 14:16:24.295807","035d8633-5989-4f32-b5fe-aebd9ff88a83","14677"
"113","71","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.305894","2020-11-13 14:16:24.305809","c20e9566-88e5-4904-9f20-e0fbd4f85e5e","14680"
"123","76","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.327510","2020-11-13 14:16:24.327441","f1418ec4-8c71-437f-af0e-87dd2c8f7684","14690"
"127","81","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.341596","2020-11-13 14:16:24.341541","8fd8dc5a-0c85-461d-a700-e6d6a51c0e54","14693"
"131","83","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.350867","2020-11-13 14:16:24.350800","79c8b199-2f0c-42b5-8d39-ba46e6c9db9c","14697"
"135","85","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.365492","2020-11-13 14:16:24.365411","18affc3d-c6c5-44d2-b8f5-057ca8038258","14702"
"138","87","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.372154","2020-11-13 14:16:24.372066","13123252-a8a6-4490-b3d5-e2c63746d93b","14705"
"143","90","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.384669","2020-11-13 14:16:24.384284","4b373ab2-b777-409a-b66b-51d93ab80a65","14710"
"145","91","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.389476","2020-11-13 14:16:24.389183","89a846ec-64c0-491a-bb34-91582b443d2a","14712"
"152","95","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.404567","2020-11-13 14:16:24.404294","e94b25a2-383a-44cf-b312-a0ca37624aa1","14719"
"156","97","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.414005","2020-11-13 14:16:24.413918","8040cd5f-0689-4aa1-a091-3c22d135166d","14723"
"158","98","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.420372","2020-11-13 14:16:24.420291","c9a6615c-9db6-4c81-a4be-10efbe7445c7","14725"
"163","101","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.431469","2020-11-13 14:16:24.431386","af818240-acfa-419e-9170-a4d9915521f8","14730"
