begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi
"2010-08-30","255901","255901","Bilingual","1790","45"
"2010-08-30","255901","255901","Bilingual","1790","71"
"2010-08-30","255901","255901","Bilingual","1790","70"
"2010-08-30","255901","255901","Bilingual","1790","34"
"2010-08-30","255901","255901","Bilingual","1790","112"
"2010-08-30","255901","255901","Bilingual","1790","146"
"2010-08-30","255901","255901","Bilingual","1790","133"
"2010-08-30","255901","255901","Bilingual","1790","80"
"2010-08-30","255901","255901","Bilingual","1790","156"
"2010-08-30","255901","255901","Bilingual","1790","160"
"2010-08-30","255901","255901","Bilingual","1790","147"
"2010-08-30","255901","255901","Bilingual","1790","171"
"2010-08-30","255901","255901","Bilingual","1790","198"
"2010-08-30","255901","255901","Bilingual","1790","210"
"2010-08-30","255901","255901","Bilingual","1790","212"
"2010-08-30","255901","255901","Bilingual","1790","271"
"2010-08-30","255901","255901","Bilingual","1790","303"
"2010-08-30","255901","255901","Bilingual","1790","327"
"2010-08-30","255901","255901","Bilingual","1790","337"
"2010-08-30","255901","255901","Bilingual","1790","345"
"2010-08-30","255901","255901","Bilingual","1790","365"
"2010-08-30","255901","255901","Bilingual","1790","346"
"2010-08-30","255901","255901","Bilingual","1790","383"
"2010-08-30","255901","255901","Bilingual","1790","458"
"2010-08-30","255901","255901","Bilingual","1790","490"
"2010-08-30","255901","255901","Bilingual","1790","544"
"2010-08-30","255901","255901","Bilingual","1790","548"
"2010-08-30","255901","255901","Bilingual","1790","549"
"2010-08-30","255901","255901","Bilingual","1790","553"
"2010-08-30","255901","255901","Bilingual","1790","639"
"2010-08-30","255901","255901","Bilingual","1790","659"
"2010-08-30","255901","255901","Bilingual","1790","732"
"2010-08-30","255901","255901","Bilingual","1790","754"
"2010-08-30","255901","255901","Bilingual","1790","795"
"2010-08-30","255901","255901","Bilingual","1790","827"
"2010-08-30","255901","255901","Bilingual","1790","845"
"2010-08-30","255901","255901","Bilingual","1790","857"
"2010-08-30","255901","255901","Bilingual","1790","888"
"2010-08-30","255901","255901","Bilingual","1790","909"
"2010-08-30","255901","255901","Bilingual","1790","922"
"2010-08-30","255901","255901","Gifted and Talented","1811","17"
"2010-08-30","255901","255901","Gifted and Talented","1811","68"
"2010-08-30","255901","255901","Gifted and Talented","1811","70"
"2010-08-30","255901","255901","Gifted and Talented","1811","73"
"2010-08-30","255901","255901","Gifted and Talented","1811","77"
"2010-08-30","255901","255901","Gifted and Talented","1811","76"
"2010-08-30","255901","255901","Gifted and Talented","1811","81"
"2010-08-30","255901","255901","Gifted and Talented","1811","85"
"2010-08-30","255901","255901","Gifted and Talented","1811","88"
"2010-08-30","255901","255901","Gifted and Talented","1811","104"
"2010-08-30","255901","255901","Gifted and Talented","1811","107"
"2010-08-30","255901","255901","Gifted and Talented","1811","108"
"2010-08-30","255901","255901","Gifted and Talented","1811","123"
"2010-08-30","255901","255901","Gifted and Talented","1811","127"
"2010-08-30","255901","255901","Gifted and Talented","1811","147"
"2010-08-30","255901","255901","Gifted and Talented","1811","149"
"2010-08-30","255901","255901","Gifted and Talented","1811","152"
"2010-08-30","255901","255901","Gifted and Talented","1811","156"
"2010-08-30","255901","255901","Gifted and Talented","1811","116"
"2010-08-30","255901","255901","Gifted and Talented","1811","161"
"2010-08-30","255901","255901","Gifted and Talented","1811","162"
"2010-08-30","255901","255901","Gifted and Talented","1811","164"
"2010-08-30","255901","255901","Gifted and Talented","1811","184"
"2010-08-30","255901","255901","Gifted and Talented","1811","187"
"2010-08-30","255901","255901","Gifted and Talented","1811","188"
"2010-08-30","255901","255901","Gifted and Talented","1811","207"
"2010-08-30","255901","255901","Gifted and Talented","1811","256"
"2010-08-30","255901","255901","Gifted and Talented","1811","260"
"2010-08-30","255901","255901","Gifted and Talented","1811","316"
"2010-08-30","255901","255901","Gifted and Talented","1811","284"
"2010-08-30","255901","255901","Gifted and Talented","1811","317"
"2010-08-30","255901","255901","Gifted and Talented","1811","341"
"2010-08-30","255901","255901","Gifted and Talented","1811","322"
"2010-08-30","255901","255901","Gifted and Talented","1811","338"
"2010-08-30","255901","255901","Gifted and Talented","1811","349"
"2010-08-30","255901","255901","Gifted and Talented","1811","390"
"2010-08-30","255901","255901","Gifted and Talented","1811","401"
"2010-08-30","255901","255901","Gifted and Talented","1811","414"
"2010-08-30","255901","255901","Gifted and Talented","1811","417"
"2010-08-30","255901","255901","Gifted and Talented","1811","421"
"2010-08-30","255901","255901","Gifted and Talented","1811","458"
"2010-08-30","255901","255901","Gifted and Talented","1811","461"
"2010-08-30","255901","255901","Gifted and Talented","1811","499"
"2010-08-30","255901","255901","Gifted and Talented","1811","518"
"2010-08-30","255901","255901","Gifted and Talented","1811","523"
"2010-08-30","255901","255901","Gifted and Talented","1811","553"
"2010-08-30","255901","255901","Gifted and Talented","1811","532"
"2010-08-30","255901","255901","Gifted and Talented","1811","570"
"2010-08-30","255901","255901","Gifted and Talented","1811","581"
"2010-08-30","255901","255901","Gifted and Talented","1811","594"
"2010-08-30","255901","255901","Gifted and Talented","1811","582"
"2010-08-30","255901","255901","Gifted and Talented","1811","453"
"2010-08-30","255901","255901","Gifted and Talented","1811","605"
"2010-08-30","255901","255901","Gifted and Talented","1811","607"
"2010-08-30","255901","255901","Gifted and Talented","1811","609"
"2010-08-30","255901","255901","Gifted and Talented","1811","626"
"2010-08-30","255901","255901","Gifted and Talented","1811","646"
"2010-08-30","255901","255901","Gifted and Talented","1811","664"
"2010-08-30","255901","255901","Gifted and Talented","1811","672"
"2010-08-30","255901","255901","Gifted and Talented","1811","688"
"2010-08-30","255901","255901","Gifted and Talented","1811","698"
"2010-08-30","255901","255901","Gifted and Talented","1811","705"
"2010-08-30","255901","255901","Gifted and Talented","1811","707"
"2010-08-30","255901","255901","Gifted and Talented","1811","719"
"2010-08-30","255901","255901","Gifted and Talented","1811","724"
"2010-08-30","255901","255901","Gifted and Talented","1811","731"
"2010-08-30","255901","255901","Gifted and Talented","1811","732"
"2010-08-30","255901","255901","Gifted and Talented","1811","755"
"2010-08-30","255901","255901","Gifted and Talented","1811","760"
"2010-08-30","255901","255901","Gifted and Talented","1811","762"
"2010-08-30","255901","255901","Gifted and Talented","1811","775"
"2010-08-30","255901","255901","Gifted and Talented","1811","795"
"2010-08-30","255901","255901","Gifted and Talented","1811","790"
"2010-08-30","255901","255901","Gifted and Talented","1811","822"
"2010-08-30","255901","255901","Gifted and Talented","1811","830"
"2010-08-30","255901","255901","Gifted and Talented","1811","847"
"2010-08-30","255901","255901","Gifted and Talented","1811","873"
"2010-08-30","255901","255901","Gifted and Talented","1811","865"
"2010-08-30","255901","255901","Gifted and Talented","1811","877"
"2010-08-30","255901","255901","Gifted and Talented","1811","894"
"2010-08-30","255901","255901","Gifted and Talented","1811","903"
"2010-08-30","255901","255901","Gifted and Talented","1811","928"
"2010-08-30","255901","255901","Gifted and Talented","1811","934"
"2010-08-30","255901","255901","Gifted and Talented","1811","939"
"2010-08-30","255901","255901","Gifted and Talented","1811","951"
"2010-08-30","255901","255901","Gifted and Talented","1811","956"
