entrydate,schoolid,studentusi,primaryschool,entrygradeleveldescriptorid,entrygradelevelreasondescriptorid,entrytypedescriptorid,repeatgradeindicator,classofschoolyear,schoolchoicetransfer,exitwithdrawdate,exitwithdrawtypedescriptorid,residencystatusdescriptorid,graduationplantypedescriptorid,educationorganizationid,graduationschoolyear,employedwhileenrolled,calendarcode,schoolyear,fulltimeequivalency,termcompletionindicator,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-23","255901107","855",,"944",,,,,,,,,"991","255901107","2011",,"2010605675","2011",,,"NULL","2020-11-13 14:16:19.371884","2020-11-13 14:16:19.362926","4fdbecaa-91fe-401d-b6c1-64a8dca3c3a9","13609"
"2010-08-23","255901107","52",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.372159","2020-11-13 14:16:19.362910","a82853f3-7fde-4853-b2e9-ffb0c2eb08f5","13611"
"2010-08-23","255901107","858",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.391386","2020-11-13 14:16:19.391257","ead6f8be-f12d-4d02-ba36-debfcd4facc9","13613"
"2010-08-23","255901107","147",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.391758","2020-11-13 14:16:19.391641","fb74d6b3-6069-413d-8749-0fa150891270","13615"
"2010-08-23","255901107","306",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.405600","2020-11-13 14:16:19.405467","914397b8-9eec-4821-924f-cd80c853bbf0","13618"
"2010-08-23","255901107","65",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.406150","2020-11-13 14:16:19.406025","f0aaf049-5c52-4828-b078-f68fc49a3891","13619"
"2010-08-23","255901107","949",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.422153","2020-11-13 14:16:19.422030","aa6bee44-0fbc-44bc-b6c7-019bf333c666","13621"
"2010-08-23","255901107","409",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.423485","2020-11-13 14:16:19.423398","265a37a9-3882-4a91-ac20-e3c692dd6591","13623"
"2010-08-23","255901107","97",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.437111","2020-11-13 14:16:19.436988","9d86e6f3-de98-4f1d-9438-53c60902207a","13625"
"2010-08-23","255901107","815",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.437360","2020-11-13 14:16:19.437269","54fe8e5c-5ec9-4b48-b68f-bb2f8631a2ad","13627"
"2010-08-23","255901107","336",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.448529","2020-11-13 14:16:19.448391","627e4366-f7da-4003-98d4-39e8de78f191","13629"
"2010-08-23","255901107","138",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.460554","2020-11-13 14:16:19.460404","e66a28a4-b3df-4322-9df9-6897471d2e86","13632"
"2010-08-23","255901107","798",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.465276","2020-11-13 14:16:19.465169","c5a278cf-90e7-4683-84e5-08920a00611f","13635"
"2010-08-23","255901107","140",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.479930","2020-11-13 14:16:19.479801","5019a40c-9237-4442-94b8-7d475fbf941d","13638"
"2010-08-23","255901107","471",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.480208","2020-11-13 14:16:19.480116","d8ed98eb-5067-44d6-8987-a4b3649b5c0a","13639"
"2010-08-23","255901107","906",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.491567","2020-11-13 14:16:19.491332","1abe003a-3ec0-4c9a-9baa-01445765d158","13640"
"2010-08-23","255901107","183",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.504797","2020-11-13 14:16:19.504596","798235a2-c7d7-45b1-b475-885c9e2348af","13644"
"2010-08-23","255901107","822",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.504844","2020-11-13 14:16:19.504731","b0e777a5-883c-46a4-930f-40d4c7f245af","13645"
"2010-08-23","255901107","881",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.518581","2020-11-13 14:16:19.518379","5b47c0e2-0f4c-4efc-9a5e-0a21fe85a26d","13648"
"2010-08-23","255901107","162",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.519181","2020-11-13 14:16:19.519052","6ef4c631-e518-4a3e-8845-a6037ded40fe","13649"
"2010-08-23","255901107","773",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.532864","2020-11-13 14:16:19.532700","d7ed1138-f888-4a80-a215-e74b3290bab7","13652"
"2010-08-23","255901107","370",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.532910","2020-11-13 14:16:19.532752","d815dfae-95d1-49f3-ad8a-83aa48acfa25","13654"
"2010-08-23","255901107","391",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.550954","2020-11-13 14:16:19.550713","b4d4aaf2-75ab-430b-8294-fbbab81f6bb5","13656"
"2010-08-23","255901107","55",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.562346","2020-11-13 14:16:19.560067","a89fcf6d-923b-4e34-a50e-df0539174dba","13659"
"2010-08-23","255901107","699",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.566830","2020-11-13 14:16:19.565967","5a3a4abd-68ab-435c-b954-0986a0776483","13660"
"2010-08-23","255901107","766",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.582351","2020-11-13 14:16:19.581963","1ec506a2-be1a-468a-921d-a963254775e4","13664"
