attendanceeventcategorydescriptorid,eventdate,schoolid,schoolyear,sessionname,studentusi,attendanceeventreason,educationalenvironmentdescriptorid,eventduration,schoolattendanceduration,arrivaltime,departuretime,discriminator,createdate,lastmodifieddate,id,changeversion
"248","2010-11-09","255901001","2011","2010-2011 Fall Semester","2","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.099810","2020-11-13 14:17:40.098011","b01e0883-86a2-4253-a8fa-cf057e866325","32822"
"253","2010-12-15","255901001","2011","2010-2011 Fall Semester","2","Absent excused",,,"10",,,"NULL","2020-11-13 14:17:40.099810","2020-11-13 14:17:40.098011","456d614a-d447-48b7-8715-bc7fa2c650e4","32825"
"248","2010-08-31","255901001","2011","2010-2011 Fall Semester","2","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.099808","2020-11-13 14:17:40.098011","4e91b5d2-9083-4216-a7d8-c16f611115b0","32824"
"248","2011-01-24","255901001","2011","2010-2011 Spring Semester","1","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.119840","2020-11-13 14:17:40.119772","3b13b025-3542-43d3-b65f-fbe746ebcecd","32826"
"248","2011-05-18","255901001","2011","2010-2011 Spring Semester","2","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.119837","2020-11-13 14:17:40.119752","9ef1fcd0-a8b5-4504-b6e4-ff26dd445122","32827"
"248","2011-02-09","255901001","2011","2010-2011 Spring Semester","1","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.120784","2020-11-13 14:17:40.120674","23d23ac5-1104-48f9-8ec7-26b69541e87f","32829"
"248","2011-04-11","255901001","2011","2010-2011 Spring Semester","1","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.129105","2020-11-13 14:17:40.129017","02df8afd-5b72-4adf-916b-eb5934884c5c","32830"
"250","2010-11-03","255901001","2011","2010-2011 Fall Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.130861","2020-11-13 14:17:40.130771","3a0f8966-a279-48a2-903e-01209815bc20","32832"
"250","2010-10-11","255901001","2011","2010-2011 Fall Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.131760","2020-11-13 14:17:40.131698","907892a9-93cd-44d2-b985-7d6db90dc5c5","32833"
"250","2010-11-19","255901001","2011","2010-2011 Fall Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.138390","2020-11-13 14:17:40.138284","4ff4e150-4a8d-4900-9bf2-10b75fd3063e","32835"
"250","2011-01-19","255901001","2011","2010-2011 Spring Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.143044","2020-11-13 14:17:40.142438","f2e46bbb-c6ef-454f-a246-6b5ec4d444a4","32837"
"250","2011-03-10","255901001","2011","2010-2011 Spring Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.146555","2020-11-13 14:17:40.146470","df3e2308-7aa4-4a4f-8b71-0b9c2b9981d0","32838"
"250","2011-04-15","255901001","2011","2010-2011 Spring Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.150021","2020-11-13 14:17:40.149952","d6719a45-005b-45e0-b18c-602c0b74b775","32840"
"250","2011-05-16","255901001","2011","2010-2011 Spring Semester","38","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.154676","2020-11-13 14:17:40.154597","1af37745-7ea2-4a55-a707-f0229fa36ace","32842"
"248","2010-08-27","255901001","2011","2010-2011 Fall Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.155897","2020-11-13 14:17:40.155808","80e6df4e-4ed1-4044-8614-589d09af322f","32843"
"248","2010-09-08","255901001","2011","2010-2011 Fall Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.159584","2020-11-13 14:17:40.159282","9e9f160e-ac59-4b2a-acc6-f9a3cafdf9de","32844"
"248","2010-09-30","255901001","2011","2010-2011 Fall Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.162027","2020-11-13 14:17:40.161959","41d57eb1-6b0f-4a53-8f6b-725145c456e3","32845"
"248","2010-10-28","255901001","2011","2010-2011 Fall Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.164388","2020-11-13 14:17:40.164321","62af04ca-b192-4d29-88d4-1b81b50a9486","32847"
"248","2011-01-06","255901001","2011","2010-2011 Spring Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.170348","2020-11-13 14:17:40.170294","272138d7-5fb8-4a7d-8ea5-99d6eb28c901","32849"
"248","2011-03-01","255901001","2011","2010-2011 Spring Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.172821","2020-11-13 14:17:40.172695","807a152f-4be2-4256-8d17-70ca60e9427a","32851"
"248","2011-03-08","255901001","2011","2010-2011 Spring Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.178116","2020-11-13 14:17:40.177392","654b90fe-f4de-4a06-8df0-0419fdac1738","32852"
"248","2011-05-11","255901001","2011","2010-2011 Spring Semester","72","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.181679","2020-11-13 14:17:40.181600","590e40b3-4b5a-4d87-bb6e-a9ee6acc933d","32854"
"248","2011-01-24","255901001","2011","2010-2011 Spring Semester","78","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.188097","2020-11-13 14:17:40.187990","c70ac089-8aa6-482f-8084-1100c01bb56e","32857"
"248","2011-02-09","255901001","2011","2010-2011 Spring Semester","78","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.190200","2020-11-13 14:17:40.190134","937e998f-81cd-48af-9761-7376a876ed31","32858"
"248","2010-09-20","255901001","2011","2010-2011 Fall Semester","87","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.195463","2020-11-13 14:17:40.195353","bf533d8a-ea4b-45e6-b16c-be77280efcda","32860"
"248","2010-10-21","255901001","2011","2010-2011 Fall Semester","87","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.201439","2020-11-13 14:17:40.201355","53d9f0c5-a8d9-4c2f-99f1-fabb7747c451","32863"
"248","2010-12-09","255901001","2011","2010-2011 Fall Semester","87","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.205406","2020-11-13 14:17:40.204959","1bbc16bc-eab1-49e6-bd5c-d18836167046","32865"
"248","2011-03-25","255901001","2011","2010-2011 Spring Semester","87","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.209878","2020-11-13 14:17:40.209528","7a2d5f47-d98a-4d28-bf1b-cbb79500f8de","32867"
"248","2011-04-11","255901001","2011","2010-2011 Spring Semester","87","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.214250","2020-11-13 14:17:40.213886","c2df95b7-02e9-4d98-8e5e-02e471a918b6","32869"
"248","2011-04-28","255901001","2011","2010-2011 Spring Semester","87","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.217931","2020-11-13 14:17:40.217799","0cb619f9-3773-42be-8db0-a6162f31fa6b","32871"
"248","2010-08-27","255901001","2011","2010-2011 Fall Semester","98","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.222832","2020-11-13 14:17:40.222632","0453c172-e5e4-4742-8f21-044c398dbe8c","32873"
"248","2010-09-30","255901001","2011","2010-2011 Fall Semester","98","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.228129","2020-11-13 14:17:40.228045","b706241e-6414-4807-82a5-8b74518d072d","32875"
"248","2010-11-02","255901001","2011","2010-2011 Fall Semester","98","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.232300","2020-11-13 14:17:40.232158","c3ecc4b8-6d4f-4039-bccf-9793c379e160","32877"
"248","2011-03-01","255901001","2011","2010-2011 Spring Semester","98","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.236045","2020-11-13 14:17:40.235936","f7583002-4294-48db-90d9-e617d759cc2d","32879"
"248","2011-05-20","255901001","2011","2010-2011 Spring Semester","98","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.251684","2020-11-13 14:17:40.251550","50366f5e-4eb3-43ff-b117-71bea6b8f2ec","32882"
"248","2010-08-27","255901001","2011","2010-2011 Fall Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.252222","2020-11-13 14:17:40.252136","8e963176-372a-42aa-8123-605cfb2423c9","32883"
"248","2011-05-11","255901001","2011","2010-2011 Spring Semester","98","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.252328","2020-11-13 14:17:40.252276","c9a9a2df-1a4e-46a7-9802-fb7d8c2faea7","32884"
"248","2010-09-30","255901001","2011","2010-2011 Fall Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.259621","2020-11-13 14:17:40.259528","77fc2116-7dca-42d9-a1ca-d2ca6f6b0397","32885"
"248","2010-11-05","255901001","2011","2010-2011 Fall Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.260849","2020-11-13 14:17:40.260716","74ff3e7c-e815-4ac6-97a0-b3d4b0077fb8","32887"
"248","2010-11-19","255901001","2011","2010-2011 Fall Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.263125","2020-11-13 14:17:40.263056","683c2a17-6ada-4884-beb5-dd76d410e117","32888"
"248","2011-01-06","255901001","2011","2010-2011 Spring Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.269116","2020-11-13 14:17:40.269005","2ae348e2-1c33-46e2-85a7-8285e430b114","32889"
"248","2011-03-01","255901001","2011","2010-2011 Spring Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.270071","2020-11-13 14:17:40.269990","72ec2381-c247-4eac-b184-862a0f706459","32891"
"248","2011-03-25","255901001","2011","2010-2011 Spring Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.272490","2020-11-13 14:17:40.272436","df233c06-23c2-4e09-b88e-db2ef92eefff","32892"
"248","2011-04-15","255901001","2011","2010-2011 Spring Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.283384","2020-11-13 14:17:40.283316","26b66fac-841a-4c23-be99-5fc18fe781c1","32893"
"248","2011-05-03","255901001","2011","2010-2011 Spring Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.283370","2020-11-13 14:17:40.283285","5c9085d4-700a-4bad-a9be-77c0f1e01b8e","32896"
"248","2011-05-11","255901001","2011","2010-2011 Spring Semester","104","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.283369","2020-11-13 14:17:40.283285","7f7a04be-e111-47cc-82ff-fe2fe62b398e","32895"
