begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,directcertification
"2010-08-30","255901","255901","School Food Service","1797","244",
"2010-08-30","255901","255901","School Food Service","1797","259",
"2010-08-30","255901","255901","School Food Service","1797","180",
"2010-08-30","255901","255901","School Food Service","1797","346",
"2010-08-30","255901","255901","School Food Service","1797","409",
"2010-08-30","255901","255901","School Food Service","1797","361",
"2010-08-30","255901","255901","School Food Service","1797","348",
"2010-08-30","255901","255901","School Food Service","1797","382",
"2010-08-30","255901","255901","School Food Service","1797","415",
"2010-08-30","255901","255901","School Food Service","1797","444",
"2010-08-30","255901","255901","School Food Service","1797","457",
"2010-08-30","255901","255901","School Food Service","1797","552",
"2010-08-30","255901","255901","School Food Service","1797","585",
"2010-08-30","255901","255901","School Food Service","1797","572",
"2010-08-30","255901","255901","School Food Service","1797","616",
"2010-08-30","255901","255901","School Food Service","1797","677",
"2010-08-30","255901","255901","School Food Service","1797","716",
"2010-08-30","255901","255901","School Food Service","1797","751",
"2010-08-30","255901","255901","School Food Service","1797","757",
"2010-08-30","255901","255901","School Food Service","1797","942",
"2010-08-30","255901","255901","School Food Service","1797","852",
