begindate,localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,studentusi,enddate,homeroomindicator,repeatidentifierdescriptorid,teacherstudentdatalinkexclusion,attemptstatusdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","68","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.677480","2020-11-13 14:16:42.675998","081329e5-fbbf-4016-ab8d-f0b90ed9d8d1","17752"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","73","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.678035","2020-11-13 14:16:42.676000","dae105fd-a5e8-4495-81dc-c234485dd9e6","17753"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","8","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.678200","2020-11-13 14:16:42.676000","94e4016c-69fa-41a0-b8fe-e8433ce96193","17754"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","83","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.678595","2020-11-13 14:16:42.676003","46121fc1-b5c3-479a-830b-eccb21c889e0","17755"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","44","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.690278","2020-11-13 14:16:42.690164","20b903b2-a7e8-4ebb-aa13-caa743878a31","17756"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","133","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.690340","2020-11-13 14:16:42.690248","bfdfb7f2-1ff3-4265-afc0-916c0bc3c815","17757"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","50","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.690666","2020-11-13 14:16:42.690604","e4f2b8f1-9c67-4aaa-a3d4-47f878105efa","17758"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","102","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.690850","2020-11-13 14:16:42.690779","f59075d3-4fb9-4614-a7f9-e6bb32608a86","17759"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","100","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.698295","2020-11-13 14:16:42.698198","10a33359-6a0d-44ea-b859-59c44e0cf176","17760"
"2010-08-23","ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","191","2010-12-17","true",,,,"NULL","2020-11-13 14:16:42.699188","2020-11-13 14:16:42.699028","d2578f88-dd14-4978-9bbd-5491d1848a57","17761"
