attendanceeventcategorydescriptorid,eventdate,localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,studentusi,attendanceeventreason,educationalenvironmentdescriptorid,eventduration,sectionattendanceduration,arrivaltime,departuretime,discriminator,createdate,lastmodifieddate,id,changeversion
"251","2011-03-07","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","132","Tardy","810",,"5","09:35:00",,"NULL","2020-11-13 14:17:45.875841","2020-11-13 14:17:45.874109","3b5c9902-5664-44ce-91ab-869a7482d722","34739"
"251","2011-03-07","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","160","Tardy","810",,"20","09:50:00",,"NULL","2020-11-13 14:17:45.876507","2020-11-13 14:17:45.874109","8c4d1935-2c81-4ade-b2e0-ba9a8f37874c","34740"
"251","2011-03-07","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","150","Tardy","810",,"5","09:35:00",,"NULL","2020-11-13 14:17:45.876669","2020-11-13 14:17:45.874108","19d5f55f-8baa-405d-94c8-ba94da80cc7c","34741"
"251","2011-03-07","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","125","Tardy","810",,"5","09:35:00",,"NULL","2020-11-13 14:17:45.876854","2020-11-13 14:17:45.874128","90088995-c3d3-4ad8-84e8-bca3aa7b8c27","34742"
"251","2011-03-07","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","178","Tardy","810",,"5","09:35:00",,"NULL","2020-11-13 14:17:45.892435","2020-11-13 14:17:45.892329","1e258699-a1fe-4cab-803e-104038dbfe3a","34743"
"251","2011-03-07","MATH-03","255901107","2011","25590110703Trad202MATH0322011","2010-2011 Spring Semester","251","Tardy","810",,"10","10:35:00",,"NULL","2020-11-13 14:17:45.892443","2020-11-13 14:17:45.892352","3c2e56b8-9a16-4906-b7f7-679dfb1df71d","34744"
"251","2011-03-07","MATH-03","255901107","2011","25590110703Trad202MATH0322011","2010-2011 Spring Semester","204","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.892967","2020-11-13 14:17:45.892888","0136ba3c-7b7b-4a31-8d5e-97e407551368","34745"
"251","2011-03-07","MATH-03","255901107","2011","25590110703Trad202MATH0322011","2010-2011 Spring Semester","197","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.893677","2020-11-13 14:17:45.893611","165a7fe0-a85c-4877-abc0-d6cfd9f6da5e","34746"
"251","2011-03-07","MUS-01","255901107","2011","25590110706Trad501MUS0122011","2010-2011 Spring Semester","184","Tardy","810",,"5","14:05:00",,"NULL","2020-11-13 14:17:45.904091","2020-11-13 14:17:45.903996","8e2252f5-c06a-4cb8-b2ea-af08280962b4","34747"
"251","2011-03-10","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","125","Tardy","810",,"25","09:55:00",,"NULL","2020-11-13 14:17:45.904840","2020-11-13 14:17:45.904726","6aad164a-f824-4e7f-8c72-a36099590d1d","34748"
"251","2011-03-10","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","150","Tardy","810",,"5","09:35:00",,"NULL","2020-11-13 14:17:45.906822","2020-11-13 14:17:45.906748","88ddf137-dc24-45eb-8234-9eb4569e1871","34749"
"251","2011-03-10","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","132","Tardy","810",,"15","09:45:00",,"NULL","2020-11-13 14:17:45.907337","2020-11-13 14:17:45.907275","5f56f764-d78c-4759-b077-23d97d98b579","34750"
"251","2011-03-10","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","160","Tardy","810",,"45","10:15:00",,"NULL","2020-11-13 14:17:45.914474","2020-11-13 14:17:45.914344","affa6950-a605-4bdb-9269-50e8194f8f41","34751"
"251","2011-03-10","MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","178","Tardy","810",,"5","09:35:00",,"NULL","2020-11-13 14:17:45.914724","2020-11-13 14:17:45.914363","114c0b23-315d-4470-92f4-ba8e13891319","34752"
"251","2011-03-10","MATH-03","255901107","2011","25590110703Trad202MATH0322011","2010-2011 Spring Semester","197","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.916171","2020-11-13 14:17:45.916075","2fc82657-b102-4d70-afaf-a7b2055662ba","34753"
"251","2011-03-10","MATH-03","255901107","2011","25590110703Trad202MATH0322011","2010-2011 Spring Semester","204","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.920189","2020-11-13 14:17:45.919802","1eaae1e8-5a8a-41a9-8e02-e66809e1ba1c","34754"
"251","2011-03-21","SCI-03","255901107","2011","25590110704Trad203SCI0322011","2010-2011 Spring Semester","713","Tardy","810",,"5","11:25:00",,"NULL","2020-11-13 14:17:45.925198","2020-11-13 14:17:45.924985","255c1342-a2a5-4683-9e76-7accfa9cf567","34755"
"251","2011-03-10","MATH-03","255901107","2011","25590110703Trad202MATH0322011","2010-2011 Spring Semester","251","Tardy","810",,"30","10:55:00",,"NULL","2020-11-13 14:17:45.925130","2020-11-13 14:17:45.925059","eeaa712a-932c-48aa-a01b-487d5e153062","34756"
"251","2011-03-10","MUS-01","255901107","2011","25590110706Trad501MUS0122011","2010-2011 Spring Semester","184","Tardy","810",,"30","14:30:00",,"NULL","2020-11-13 14:17:45.925312","2020-11-13 14:17:45.925135","83421359-e7d6-4d73-abd2-f00658b6d31e","34757"
"251","2011-03-21","SCI-04","255901107","2011","25590110703Trad207SCI0422011","2010-2011 Spring Semester","609","Tardy","810",,"35","11:00:00",,"NULL","2020-11-13 14:17:45.931962","2020-11-13 14:17:45.931103","0018943a-f68c-4540-ad45-70e8813af02b","34758"
"251","2011-03-21","SCI-04","255901107","2011","25590110703Trad207SCI0422011","2010-2011 Spring Semester","659","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.933858","2020-11-13 14:17:45.933767","b3a5f57b-f86e-45a8-9d52-e7dccb6a3dd0","34759"
"251","2011-03-21","SCI-04","255901107","2011","25590110705Trad208SCI0422011","2010-2011 Spring Semester","705","Tardy","810",,"35","13:40:00",,"NULL","2020-11-13 14:17:45.935396","2020-11-13 14:17:45.935267","2290e657-48d9-4274-9379-1919abb5f90d","34760"
"251","2011-03-24","SCI-04","255901107","2011","25590110703Trad207SCI0422011","2010-2011 Spring Semester","609","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.936697","2020-11-13 14:17:45.936410","7194b97c-e398-4fea-b9a1-4f05f7d6a33c","34761"
"251","2011-03-28","SCI-04","255901107","2011","25590110703Trad207SCI0422011","2010-2011 Spring Semester","609","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.942107","2020-11-13 14:17:45.942028","5ca466eb-785a-495a-9bf5-4ed0f06d8ff7","34762"
"251","2011-03-30","ART-03","255901107","2011","25590110707Trad505ART0322011","2010-2011 Spring Semester","289","Tardy","810",,"5","15:00:00",,"NULL","2020-11-13 14:17:45.943910","2020-11-13 14:17:45.943832","b2f9a4a7-3893-437f-ba14-ab7d21fcb4e3","34763"
"251","2011-03-30","ART-03","255901107","2011","25590110707Trad505ART0322011","2010-2011 Spring Semester","310","Tardy","810",,"35","15:30:00",,"NULL","2020-11-13 14:17:45.947531","2020-11-13 14:17:45.947435","46ec3db6-7280-4ba1-b33f-f9ce2a5f00fd","34764"
"251","2011-03-30","ART-03","255901107","2011","25590110707Trad505ART0322011","2010-2011 Spring Semester","338","Tardy","810",,"10","15:05:00",,"NULL","2020-11-13 14:17:45.947719","2020-11-13 14:17:45.947455","70b4bead-65fb-4323-a45e-72c722490ee5","34765"
"251","2011-03-30","ART-03","255901107","2011","25590110707Trad505ART0322011","2010-2011 Spring Semester","365","Tardy","810",,"5","15:00:00",,"NULL","2020-11-13 14:17:45.952461","2020-11-13 14:17:45.951889","86922049-a20e-4807-b65a-d3db4d148a1e","34766"
"251","2011-03-30","ART-03","255901107","2011","25590110707Trad505ART0322011","2010-2011 Spring Semester","462","Tardy","810",,"25","15:20:00",,"NULL","2020-11-13 14:17:45.953279","2020-11-13 14:17:45.953197","ca474145-3438-479c-a808-06a8b8c2083e","34767"
"251","2011-03-30","ART-03","255901107","2011","25590110707Trad505ART0322011","2010-2011 Spring Semester","501","Tardy","810",,"10","15:05:00",,"NULL","2020-11-13 14:17:45.958444","2020-11-13 14:17:45.958350","12f7caf8-a278-492b-9667-c08c9b0351b7","34768"
"251","2011-03-30","SCI-05","255901107","2011","25590110706Trad303SCI0522011","2010-2011 Spring Semester","745","Tardy","810",,"10","14:10:00",,"NULL","2020-11-13 14:17:45.958521","2020-11-13 14:17:45.958446","a95322dd-4cd9-4bb6-8b9e-3293ccbfc292","34769"
"251","2011-04-28","SCI-04","255901107","2011","25590110703Trad207SCI0422011","2010-2011 Spring Semester","609","Tardy","810",,"5","10:30:00",,"NULL","2020-11-13 14:17:45.963058","2020-11-13 14:17:45.962492","6e6ba82a-82b8-46d4-9f72-ef0ae9e77758","34770"
"251","2011-05-10","SS-01","255901107","2011","25590110705Trad101SS0122011","2010-2011 Spring Semester","71","Tardy","810",,"5","13:10:00",,"NULL","2020-11-13 14:17:45.963152","2020-11-13 14:17:45.962971","582d0060-a6ed-433b-a298-cda8592ec869","34771"
"251","2011-05-10","SS-02","255901107","2011","25590110705Trad105SS0222011","2010-2011 Spring Semester","45","Tardy","810",,"5","13:10:00",,"NULL","2020-11-13 14:17:45.968781","2020-11-13 14:17:45.968343","05e76a39-7178-4825-a020-5c90a4537b84","34772"
"251","2011-05-10","SS-02","255901107","2011","25590110705Trad105SS0222011","2010-2011 Spring Semester","58","Tardy","810",,"40","13:45:00",,"NULL","2020-11-13 14:17:45.968933","2020-11-13 14:17:45.968621","5bc7748b-f06c-455e-bef2-1bb6d483729e","34773"
"251","2011-05-10","SS-03","255901107","2011","25590110707Trad201SS0322011","2010-2011 Spring Semester","35","Tardy","810",,"5","15:00:00",,"NULL","2020-11-13 14:17:45.971854","2020-11-13 14:17:45.971772","9142ba7c-657a-4860-9406-fed4ab3afb08","34774"
"251","2011-05-10","SS-03","255901107","2011","25590110707Trad201SS0322011","2010-2011 Spring Semester","86","Tardy","810",,"5","15:00:00",,"NULL","2020-11-13 14:17:45.973912","2020-11-13 14:17:45.973449","5564779d-363f-42e2-aa93-b02c9d6ec8cd","34775"
"251","2011-05-10","SS-04","255901107","2011","25590110706Trad205SS0422011","2010-2011 Spring Semester","33","Tardy","810",,"5","14:05:00",,"NULL","2020-11-13 14:17:45.978510","2020-11-13 14:17:45.977991","05356727-0cb4-4c14-a5c9-1115a64af210","34776"
"251","2011-05-10","SS-04","255901107","2011","25590110706Trad205SS0422011","2010-2011 Spring Semester","39","Tardy","810",,"5","14:05:00",,"NULL","2020-11-13 14:17:45.979526","2020-11-13 14:17:45.979441","8f79fc9c-4e12-4da4-975f-c998232ddfc5","34777"
