begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,ideaeligibility,specialeducationsettingdescriptorid,specialeducationhoursperweek,schoolhoursperweek,multiplydisabled,medicallyfragile,lastevaluationdate,iepreviewdate,iepbegindate,iependdate
"2010-08-30","255901","255901","Special Education","1837","86",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","51","true","2111","25.00","10.00",,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","87",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","198",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","136",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","169",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","172",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","200","true","2111","30.00","5.00",,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","201",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","222",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","227",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","255",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","302",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","288",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","306",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","326",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","325","true","2113","18.00","17.00",,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","358",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","340",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","361",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","368",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","372",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","371",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","380",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","382",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","393",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","409",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","411","true","2113","18.00","17.00","true","true","2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","419",,,,,,,"2010-08-23","2010-08-27","2010-09-01","2010-09-30"
"2010-08-30","255901","255901","Special Education","1837","418",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","424",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","429",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","436",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","451",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","459",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","467",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","474",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","491",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","503",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","550",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","559",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","588",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","597",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","617",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","622",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","629",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","651",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","658","true","2113","16.00","19.00",,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","661",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","677",,,,,,,"2010-08-24","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","682",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","681",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
