namespace,questioncode,surveyidentifier,surveyresponseidentifier,noresponse,comment,discriminator,createdate,lastmodifieddate,id,changeversion
"uri://gbisd.edu","CE_1_Q4","CE_1","00031","false",,"NULL","2020-11-13 14:21:13.774408","2020-11-13 14:21:13.767594","2496d2c4-776a-408b-9f08-cd21d5b27faf","88374"
"uri://gbisd.edu","CE_1_Q1","CE_1","00031","false",,"NULL","2020-11-13 14:21:13.774941","2020-11-13 14:21:13.767591","a6983065-4907-4a09-8ddf-654346605b21","88375"
"uri://gbisd.edu","CE_1_Q3","CE_1","00031","false",,"NULL","2020-11-13 14:21:13.774408","2020-11-13 14:21:13.767576","df1826b1-7a54-462d-9683-6c38cd69ada9","88373"
"uri://gbisd.edu","CE_1_Q2","CE_1","00031","false",,"NULL","2020-11-13 14:21:13.775366","2020-11-13 14:21:13.767582","6da079f5-12f2-4176-a808-8f5bbecaeb9b","88376"
"uri://gbisd.edu","CE_1_Q1","CE_1","00050","true",,"NULL","2020-11-13 14:21:13.796474","2020-11-13 14:21:13.796329","721dbd13-8c82-4e10-be84-b373e7f98e73","88377"
"uri://gbisd.edu","CE_1_Q2","CE_1","00050","false",,"NULL","2020-11-13 14:21:13.796499","2020-11-13 14:21:13.796367","826a492a-d667-4761-af48-e52807e759d7","88378"
"uri://gbisd.edu","CE_1_Q3","CE_1","00050","false",,"NULL","2020-11-13 14:21:13.797087","2020-11-13 14:21:13.796947","fdfa12b7-9b9d-45af-8c96-994a1698faab","88379"
"uri://gbisd.edu","CE_1_Q4","CE_1","00050","false",,"NULL","2020-11-13 14:21:13.804089","2020-11-13 14:21:13.803947","a5d1f443-d8c8-4361-bd63-7af08f2231b4","88380"
"uri://gbisd.edu","CE_1_Q1","CE_1","00070","false",,"NULL","2020-11-13 14:21:13.804991","2020-11-13 14:21:13.804866","3d930c15-0774-4e66-a3ce-ab165bbf2017","88381"
"uri://gbisd.edu","CE_1_Q2","CE_1","00070","false",,"NULL","2020-11-13 14:21:13.811546","2020-11-13 14:21:13.811402","6a84c652-8925-42c2-bcf7-ffcee78dd2fd","88382"
"uri://gbisd.edu","CE_1_Q3","CE_1","00070","false",,"NULL","2020-11-13 14:21:13.812281","2020-11-13 14:21:13.812153","dca3ed88-766e-45fe-bcbd-30690712dc32","88383"
"uri://gbisd.edu","CE_1_Q4","CE_1","00070","false",,"NULL","2020-11-13 14:21:13.819732","2020-11-13 14:21:13.819592","8c1bfd3d-b43c-4d53-ae21-87d9baf85a4a","88384"
"uri://gbisd.edu","CE_1_Q1","CE_1","00169","false",,"NULL","2020-11-13 14:21:13.827519","2020-11-13 14:21:13.827392","3ef460c4-7be9-4ae8-a274-440fec2faf33","88385"
"uri://gbisd.edu","CE_1_Q5","CE_1","00050","false",,"NULL","2020-11-13 14:21:13.828511","2020-11-13 14:21:13.827141","1ebc4535-fdea-456f-9aae-b652b8a79432","88386"
"uri://gbisd.edu","CE_1_Q5","CE_1","00031","false",,"NULL","2020-11-13 14:21:13.828527","2020-11-13 14:21:13.827131","891eaefc-807b-4657-b802-c9ae84f8535e","88388"
"uri://gbisd.edu","CE_1_Q5","CE_1","00070","false",,"NULL","2020-11-13 14:21:13.828525","2020-11-13 14:21:13.827131","c0639cee-8799-4205-b569-28b2a9b39b0b","88387"
"uri://gbisd.edu","CE_1_Q2","CE_1","00169","false",,"NULL","2020-11-13 14:21:13.836111","2020-11-13 14:21:13.835347","b6117332-b5f6-47e0-857e-a35378c97e39","88389"
"uri://gbisd.edu","CE_1_Q3","CE_1","00169","false",,"NULL","2020-11-13 14:21:13.836404","2020-11-13 14:21:13.836237","c7df83cf-61a1-4168-ba9c-a69dc39638f4","88390"
"uri://gbisd.edu","CE_1_Q4","CE_1","00169","false",,"NULL","2020-11-13 14:21:13.838186","2020-11-13 14:21:13.838078","df755070-fadc-4f54-a690-47dbe3d3a385","88391"
"uri://gbisd.edu","CE_1_Q5","CE_1","00169","false",,"NULL","2020-11-13 14:21:13.842288","2020-11-13 14:21:13.842164","81684d00-f03c-4471-b6ea-e90f8a7856e0","88392"
"uri://gbisd.edu","CE_1_Q1","CE_1","00215","false",,"NULL","2020-11-13 14:21:13.843869","2020-11-13 14:21:13.843682","2129dea3-816d-4faf-be78-1fd29f99919c","88393"
"uri://gbisd.edu","CE_1_Q3","CE_1","00215","false",,"NULL","2020-11-13 14:21:13.845923","2020-11-13 14:21:13.845814","d07742af-8737-4538-b462-e8a9723998b3","88394"
"uri://gbisd.edu","CE_1_Q2","CE_1","00215","false",,"NULL","2020-11-13 14:21:13.845909","2020-11-13 14:21:13.845797","c9a1864d-d370-48e1-9585-139ed2dd544c","88395"
"uri://gbisd.edu","CE_1_Q4","CE_1","00215","false",,"NULL","2020-11-13 14:21:13.850655","2020-11-13 14:21:13.850373","2463042e-f6f8-4edd-9f87-70bb766ac9c4","88396"
"uri://gbisd.edu","CE_1_Q5","CE_1","00215","false",,"NULL","2020-11-13 14:21:13.852680","2020-11-13 14:21:13.852568","27377c64-802e-492d-a655-5b344b7a17fe","88397"
"uri://gbisd.edu","CE_1_Q2","CE_1","00311","false",,"NULL","2020-11-13 14:21:13.854434","2020-11-13 14:21:13.854303","22bc8d7e-ebfe-40cb-b2f8-d1cabd4e697a","88398"
"uri://gbisd.edu","CE_1_Q1","CE_1","00311","false",,"NULL","2020-11-13 14:21:13.854423","2020-11-13 14:21:13.854267","3e6a468f-17c3-47d8-8377-9e8809deebb5","88399"
"uri://gbisd.edu","CE_1_Q3","CE_1","00311","false",,"NULL","2020-11-13 14:21:13.858819","2020-11-13 14:21:13.858597","3cd0ad3c-305c-4d60-8694-3105f42de594","88400"
"uri://gbisd.edu","CE_1_Q4","CE_1","00311","false",,"NULL","2020-11-13 14:21:13.860473","2020-11-13 14:21:13.860339","f88de0b1-47c6-4f07-a583-2f21625e3a34","88401"
"uri://gbisd.edu","CE_1_Q5","CE_1","00311","false",,"NULL","2020-11-13 14:21:13.861529","2020-11-13 14:21:13.861413","1e75c64b-5769-4afe-be53-7d14ef531457","88402"
"uri://gbisd.edu","CE_1_Q1","CE_1","00452","false",,"NULL","2020-11-13 14:21:13.862863","2020-11-13 14:21:13.862736","0c42d639-11d3-48d0-bfa5-a865b9a3957f","88403"
"uri://gbisd.edu","CE_1_Q2","CE_1","00452","false",,"NULL","2020-11-13 14:21:13.867136","2020-11-13 14:21:13.867013","7bdcaba3-b5ef-40ff-9cdb-9b6292d1fd73","88404"
"uri://gbisd.edu","CE_1_Q3","CE_1","00452","false",,"NULL","2020-11-13 14:21:13.868083","2020-11-13 14:21:13.867959","0a978fa1-5632-4b63-aa29-2ec2786b4b9f","88405"
"uri://gbisd.edu","CE_1_Q4","CE_1","00452","false",,"NULL","2020-11-13 14:21:13.869098","2020-11-13 14:21:13.868996","36b35c77-f6ce-4ce3-bf8c-b6c58b90ed02","88406"
"uri://gbisd.edu","CE_1_Q5","CE_1","00452","true",,"NULL","2020-11-13 14:21:13.870759","2020-11-13 14:21:13.870668","ed4f5337-2697-42e3-a9bf-df225c7f2646","88407"
