namespace,questioncode,sortorder,surveyidentifier,numericvalue,textvalue,createdate
"uri://gbisd.edu","CE_1_Q1","1","CE_1","5","Strongly agree","2020-11-13 14:16:13.654846"
"uri://gbisd.edu","CE_1_Q2","1","CE_1","5","Strongly agree","2020-11-13 14:16:13.654643"
"uri://gbisd.edu","CE_1_Q3","1","CE_1","5","Strongly agree","2020-11-13 14:16:13.654594"
"uri://gbisd.edu","CE_1_Q4","1","CE_1","5","Strongly agree","2020-11-13 14:16:13.654600"
"uri://gbisd.edu","CE_1_Q3","2","CE_1","4","Agree","2020-11-13 14:16:13.654938"
"uri://gbisd.edu","CE_1_Q4","2","CE_1","4","Agree","2020-11-13 14:16:13.654921"
"uri://gbisd.edu","CE_1_Q1","2","CE_1","4","Agree","2020-11-13 14:16:13.654907"
"uri://gbisd.edu","CE_1_Q2","2","CE_1","4","Agree","2020-11-13 14:16:13.654948"
"uri://gbisd.edu","CE_1_Q3","3","CE_1","3","Neutral","2020-11-13 14:16:13.654956"
"uri://gbisd.edu","CE_1_Q4","3","CE_1","3","Neutral","2020-11-13 14:16:13.654937"
"uri://gbisd.edu","CE_1_Q2","3","CE_1","3","Neutral","2020-11-13 14:16:13.654964"
"uri://gbisd.edu","CE_1_Q1","3","CE_1","3","Neutral","2020-11-13 14:16:13.654918"
"uri://gbisd.edu","CE_1_Q3","4","CE_1","2","Disagree","2020-11-13 14:16:13.654965"
"uri://gbisd.edu","CE_1_Q4","4","CE_1","2","Disagree","2020-11-13 14:16:13.654946"
"uri://gbisd.edu","CE_1_Q2","4","CE_1","2","Disagree","2020-11-13 14:16:13.654973"
"uri://gbisd.edu","CE_1_Q1","4","CE_1","2","Disagree","2020-11-13 14:16:13.654928"
"uri://gbisd.edu","CE_1_Q3","5","CE_1","1","Strongly disagree","2020-11-13 14:16:13.654973"
"uri://gbisd.edu","CE_1_Q4","5","CE_1","1","Strongly disagree","2020-11-13 14:16:13.654956"
"uri://gbisd.edu","CE_1_Q2","5","CE_1","1","Strongly disagree","2020-11-13 14:16:13.654983"
"uri://gbisd.edu","CE_1_Q1","5","CE_1","1","Strongly disagree","2020-11-13 14:16:13.654935"
