namespace,questioncode,surveyidentifier,surveyquestionresponsevalueidentifier,surveyresponseidentifier,numericresponse,textresponse,createdate
"uri://gbisd.edu","CE_1_Q2","CE_1","2","00031","3",,"2020-11-13 14:21:13.776976"
"uri://gbisd.edu","CE_1_Q1","CE_1","1","00031","4","Agree","2020-11-13 14:21:13.777421"
"uri://gbisd.edu","CE_1_Q4","CE_1","4","00031","5","Strongly Agree","2020-11-13 14:21:13.776961"
"uri://gbisd.edu","CE_1_Q3","CE_1","3","00031",,"Agree","2020-11-13 14:21:13.777627"
"uri://gbisd.edu","CE_1_Q1","CE_1","5","00050",,,"2020-11-13 14:21:13.797734"
"uri://gbisd.edu","CE_1_Q2","CE_1","6","00050","3","Neutral","2020-11-13 14:21:13.797752"
"uri://gbisd.edu","CE_1_Q3","CE_1","7","00050","2","Disagree","2020-11-13 14:21:13.798088"
"uri://gbisd.edu","CE_1_Q4","CE_1","8","00050","3","Neutral","2020-11-13 14:21:13.805241"
"uri://gbisd.edu","CE_1_Q1","CE_1","9","00070","5","Strongly Agree","2020-11-13 14:21:13.806083"
"uri://gbisd.edu","CE_1_Q2","CE_1","10","00070","4","Agree","2020-11-13 14:21:13.812705"
"uri://gbisd.edu","CE_1_Q3","CE_1","11","00070","5","Strongly Agree","2020-11-13 14:21:13.813369"
"uri://gbisd.edu","CE_1_Q4","CE_1","12","00070","5","Strongly Agree","2020-11-13 14:21:13.820969"
"uri://gbisd.edu","CE_1_Q1","CE_1","13","00169","4","Agree","2020-11-13 14:21:13.828837"
"uri://gbisd.edu","CE_1_Q3","CE_1","15","00169","4","Agree","2020-11-13 14:21:13.837563"
"uri://gbisd.edu","CE_1_Q2","CE_1","14","00169","4","Agree","2020-11-13 14:21:13.837540"
"uri://gbisd.edu","CE_1_Q4","CE_1","16","00169","4","Agree","2020-11-13 14:21:13.839215"
"uri://gbisd.edu","CE_1_Q1","CE_1","17","00215","2","Disagree","2020-11-13 14:21:13.845163"
"uri://gbisd.edu","CE_1_Q3","CE_1","19","00215","2","Disagree","2020-11-13 14:21:13.847071"
"uri://gbisd.edu","CE_1_Q2","CE_1","18","00215","2","Disagree","2020-11-13 14:21:13.847090"
"uri://gbisd.edu","CE_1_Q4","CE_1","20","00215","2","Disagree","2020-11-13 14:21:13.851904"
"uri://gbisd.edu","CE_1_Q2","CE_1","22","00311","4","Agree","2020-11-13 14:21:13.855473"
"uri://gbisd.edu","CE_1_Q1","CE_1","21","00311","3","Neutral","2020-11-13 14:21:13.855520"
"uri://gbisd.edu","CE_1_Q3","CE_1","23","00311","4","Agree","2020-11-13 14:21:13.860122"
"uri://gbisd.edu","CE_1_Q4","CE_1","24","00311","3","Neutral","2020-11-13 14:21:13.861742"
"uri://gbisd.edu","CE_1_Q1","CE_1","25","00452","5","Strongly Agree","2020-11-13 14:21:13.863964"
"uri://gbisd.edu","CE_1_Q2","CE_1","26","00452","4","Agree","2020-11-13 14:21:13.868286"
"uri://gbisd.edu","CE_1_Q3","CE_1","27","00452","3","Neutral","2020-11-13 14:21:13.869106"
"uri://gbisd.edu","CE_1_Q4","CE_1","28","00452","4","Agree","2020-11-13 14:21:13.870239"
"uri://gbisd.edu","CE_1_Q1","CE_1","29","00533","2","Disagree","2020-11-13 14:21:13.876051"
"uri://gbisd.edu","CE_1_Q2","CE_1","30","00533","2","Disagree","2020-11-13 14:21:13.877091"
"uri://gbisd.edu","CE_1_Q3","CE_1","31","00533","3","Neutral","2020-11-13 14:21:13.877703"
"uri://gbisd.edu","CE_1_Q4","CE_1","32","00533","4","Agree","2020-11-13 14:21:13.879162"
"uri://gbisd.edu","CE_1_Q1","CE_1","33","00626","5","Strongly Agree","2020-11-13 14:21:13.883952"
"uri://gbisd.edu","CE_1_Q2","CE_1","34","00626","5","Strongly Agree","2020-11-13 14:21:13.884698"
"uri://gbisd.edu","CE_1_Q3","CE_1","35","00626","4","Agree","2020-11-13 14:21:13.886178"
"uri://gbisd.edu","CE_1_Q4","CE_1","36","00626","5","Strongly Agree","2020-11-13 14:21:13.891753"
"uri://gbisd.edu","CE_1_Q1","CE_1","37","00977","5","Strongly Agree","2020-11-13 14:21:13.893676"
"uri://gbisd.edu","CE_1_Q2","CE_1","38","00977","3","Neutral","2020-11-13 14:21:13.893925"
"uri://gbisd.edu","CE_1_Q3","CE_1","39","00977",,,"2020-11-13 14:21:13.900921"
"uri://gbisd.edu","CE_1_Q4","CE_1","40","00977","4","Agree","2020-11-13 14:21:13.901122"
"uri://gbisd.edu","CE_1_Q1","CE_1","41","01112","1","Strongly Disagree","2020-11-13 14:21:14.001931"
"uri://gbisd.edu","CE_1_Q2","CE_1","42","01112","2","Disagree","2020-11-13 14:21:14.004618"
"uri://gbisd.edu","CE_1_Q3","CE_1","43","01112","2","Disagree","2020-11-13 14:21:14.007847"
"uri://gbisd.edu","CE_1_Q4","CE_1","44","01112","1","Strongly Disagree","2020-11-13 14:21:14.014579"
"uri://gbisd.edu","CE_1_Q1","CE_1","45","01235","3","Neutral","2020-11-13 14:21:14.015326"
"uri://gbisd.edu","CE_1_Q3","CE_1","46","01235","4","Agree","2020-11-13 14:21:14.025883"
"uri://gbisd.edu","CE_1_Q4","CE_1","47","01235","4","Agree","2020-11-13 14:21:14.039451"
