namespace,surveyidentifier,surveyleveldescriptorid,surveyresponseidentifier,createdate
"uri://gbisd.edu","CE_1","2282","00050","2020-11-13 14:21:13.259998"
"uri://gbisd.edu","CE_1","2282","00070","2020-11-13 14:21:13.260042"
"uri://gbisd.edu","CE_1","2282","00452","2020-11-13 14:21:13.276047"
"uri://gbisd.edu","CE_1","2282","00215","2020-11-13 14:21:13.276256"
"uri://gbisd.edu","CE_1","2282","01112","2020-11-13 14:21:13.285435"
"uri://gbisd.edu","CE_1","2282","01235","2020-11-13 14:21:13.285949"
"uri://gbisd.edu","CE_1","2282","00169","2020-11-13 14:21:13.260604"
"uri://gbisd.edu","CE_1","2282","00311","2020-11-13 14:21:13.276206"
"uri://gbisd.edu","CE_1","2282","00977","2020-11-13 14:21:13.287018"
"uri://gbisd.edu","CE_1","2282","00031","2020-11-13 14:21:13.259943"
"uri://gbisd.edu","CE_1","2282","00533","2020-11-13 14:21:13.276013"
"uri://gbisd.edu","CE_1","2282","00626","2020-11-13 14:21:13.284301"
