namespace,surveyidentifier,surveyresponseidentifier,surveysectiontitle,sectionrating,discriminator,createdate,lastmodifieddate,id,changeversion
"uri://gbisd.edu","CE_1","00031","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.452641","2020-11-13 14:21:13.451686","b4ace77a-a624-4bae-a69d-8d83ed682b92","88361"
"uri://gbisd.edu","CE_1","00533","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.551796","2020-11-13 14:21:13.551711","d198bdb6-ad11-412d-8f79-c09e01b0ca3f","88368"
"uri://gbisd.edu","CE_1","00977","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.558867","2020-11-13 14:21:13.558799","72113096-757f-4be9-8f4e-e805b0bdda37","88371"
"uri://gbisd.edu","CE_1","00169","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.453504","2020-11-13 14:21:13.451678","d77e26b0-bb7f-4a5f-9a18-5271e3dac16b","88364"
"uri://gbisd.edu","CE_1","00070","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.452646","2020-11-13 14:21:13.451695","b2da11ae-9adf-4e94-a9b3-a9228104ee9c","88362"
"uri://gbisd.edu","CE_1","00452","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.551388","2020-11-13 14:21:13.551315","52771ba6-4f2d-4f9d-8d65-c52fc956e2cf","88365"
"uri://gbisd.edu","CE_1","00311","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.551386","2020-11-13 14:21:13.551303","21e578b5-0f9b-450f-af70-c4db4d47ba17","88366"
"uri://gbisd.edu","CE_1","01112","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.558692","2020-11-13 14:21:13.558470","8071afac-b967-4d10-8e7f-5a8d2081a6d1","88370"
"uri://gbisd.edu","CE_1","01235","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.559850","2020-11-13 14:21:13.559779","64512353-74d6-44bf-ab7e-dfc75f908399","88372"
"uri://gbisd.edu","CE_1","00050","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.452641","2020-11-13 14:21:13.451693","e6bc4748-bc2d-4ddb-8843-0aa55fcc5f5a","88363"
"uri://gbisd.edu","CE_1","00215","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.551472","2020-11-13 14:21:13.551411","d229b471-0290-4c92-a541-e9c2cb13add6","88367"
"uri://gbisd.edu","CE_1","00626","Course Content, Grading, and Climate",,"NULL","2020-11-13 14:21:13.558757","2020-11-13 14:21:13.558687","2fc5a604-20d1-451a-b685-19c5a72b473d","88369"
